feature,importance
numeric__visibility_origin_km,0.09738420282980723
numeric__previous_flight_delay_min,0.06690838842215997
numeric__precipitation_origin_mm,0.06522245622993228
numeric__wind_speed_origin_mps,0.055082104054362147
numeric__airport_load_index,0.05465688420075336
categorical__weather_origin_fog,0.03798113972740042
categorical__weather_origin_snow,0.0373420994189997
numeric__temperature_origin_c,0.022905358197812725
categorical__weather_origin_storm,0.022815591547714544
numeric__technical_check_required,0.022641755987793877
numeric__departure_hour,0.02213794906832238
categorical__weather_origin_clear,0.02196287802567688
numeric__aircraft_age_years,0.02131123899189614
numeric__distance_km,0.02051845166940568
numeric__route_avg_delay_min,0.0205064654043965
numeric__planned_duration_min,0.019828069692602316
categorical__weather_origin_cloudy,0.01918160112028793
numeric__airline_load_factor,0.018202238319308534
categorical__weather_destination_snow,0.015155141541203532
numeric__month,0.014525092548300624
categorical__season_winter,0.013114194903049667
numeric__crew_change_required,0.011565388065008134
numeric__is_weekend,0.008568393314307738
categorical__weather_origin_rain,0.008494633660450016
categorical__weather_destination_fog,0.008390084631853915
categorical__weather_destination_storm,0.00501525180097597
categorical__origin_airport_SVO,0.004646457163603186
categorical__weather_destination_cloudy,0.004579034349190388
categorical__season_autumn,0.004432941605440104
categorical__weather_destination_clear,0.004418615033604164
categorical__day_of_week_Saturday,0.004225007107541129
categorical__weather_destination_rain,0.004001336611693889
categorical__day_of_week_Tuesday,0.0034049047262221664
categorical__day_of_week_Sunday,0.0032896204727571494
categorical__season_spring,0.0032071558534312954
categorical__aircraft_type_B737,0.0029629920925546586
categorical__aircraft_type_A320,0.0028777816594531885
categorical__day_of_week_Monday,0.0027987313265372122
categorical__origin_airport_LED,0.002737038859035639
categorical__aircraft_type_SSJ100,0.0026963856617933245
categorical__airline_code_S7,0.0026193543754912717
categorical__season_summer,0.0025014773095912513
categorical__aircraft_type_A321,0.002484447704242071
categorical__day_of_week_Friday,0.002431305956505153
categorical__airline_code_UT,0.0023603506024148894
categorical__day_of_week_Thursday,0.002280967813923055
categorical__airline_code_SU,0.002207014246996328
categorical__airline_code_U6,0.0020849631539337416
categorical__day_of_week_Wednesday,0.0020573624172765385
categorical__airline_code_DP,0.002016997635285681
categorical__airline_code_WZ,0.0020016075157170575
categorical__aircraft_type_A319,0.0019756369766328885
categorical__airline_code_IO,0.0019055961328757697
categorical__airline_code_FV,0.0018885354981803214
categorical__airline_code_5N,0.0018780167912492076
categorical__airline_code_YC,0.0017690593658287424
categorical__origin_airport_VKO,0.0017618257304035806
categorical__airline_code_N4,0.0017257519868930224
categorical__origin_airport_DME,0.0016973309035740838
categorical__origin_airport_MRV,0.001637939869243026
categorical__origin_airport_CEK,0.0016077008112055915
categorical__destination_airport_VKO,0.0015946415164584235
categorical__aircraft_type_B777,0.0014395378242485011
categorical__origin_airport_GOJ,0.0013913881291612092
categorical__aircraft_type_B767,0.0013547201166548878
categorical__destination_airport_KJA,0.0013377146275655482
categorical__destination_airport_SVO,0.0013107062606402297
categorical__origin_airport_SGC,0.0012268508717719771
categorical__aircraft_type_CRJ200,0.0011971832409509188
categorical__origin_airport_ROV,0.0011966469556313343
categorical__destination_airport_SCW,0.001158325258764328
categorical__origin_airport_ARH,0.0011138356046534604
categorical__destination_airport_LED,0.0011090420401147648
categorical__aircraft_type_E170,0.0011028202593166036
categorical__origin_airport_YKS,0.001074486805307307
categorical__route_SVO-KJA,0.0010643007735395588
categorical__destination_airport_DME,0.0010235395216806025
categorical__origin_airport_SVX,0.0010150915983780616
categorical__origin_airport_KHV,0.0009949026145544648
categorical__destination_airport_OMS,0.0009755342460768183
categorical__origin_airport_KUF,0.0009617766081528675
categorical__destination_airport_UFA,0.0009575770640884689
categorical__origin_airport_AER,0.0009573334519515726
categorical__destination_airport_ARH,0.0009541983312254994
categorical__origin_airport_MMK,0.0009480845139300714
categorical__destination_airport_PEE,0.0009430191910987439
categorical__destination_airport_YKS,0.0009396813370488643
categorical__destination_airport_MRV,0.0009349817969854354
categorical__destination_airport_SVX,0.0009282251314778456
categorical__destination_airport_TJM,0.0009158079674499451
categorical__destination_airport_KRR,0.0009018025572128549
categorical__destination_airport_AER,0.0008995550640942684
categorical__origin_airport_KRR,0.0008936308039310938
categorical__destination_airport_KHV,0.0008838462584726823
categorical__destination_airport_GOJ,0.0008798694600918362
categorical__destination_airport_MMK,0.0008561129384400926
categorical__destination_airport_OVB,0.0008493060208172382
categorical__route_SGC-LED,0.0008196932255423776
categorical__origin_airport_UFA,0.0008136321277035786
categorical__destination_airport_IKT,0.0008084145975213676
categorical__destination_airport_KUF,0.0008049803984732907
categorical__route_DME-PKC,0.0007937925712158032
categorical__destination_airport_KGD,0.0007885959963109069
categorical__route_LED-VKO,0.0007849265210833032
categorical__destination_airport_VOG,0.0007806064168024353
categorical__origin_airport_IKT,0.0007663187051664499
categorical__destination_airport_VVO,0.0007623726399240307
categorical__origin_airport_TJM,0.000760922491521739
categorical__destination_airport_KZN,0.0007604457666007857
categorical__origin_airport_OVB,0.0007513945238863565
categorical__origin_airport_PKC,0.0007427701300825691
categorical__route_SVO-PEE,0.0007272273327611468
categorical__origin_airport_VOG,0.0007253468496086778
categorical__route_ARH-LED,0.0007190883451697914
categorical__route_VKO-OVB,0.0007147792928321653
categorical__destination_airport_SGC,0.0007124803668283706
categorical__origin_airport_KZN,0.0007090367863043576
categorical__destination_airport_CEK,0.0007035956748922554
categorical__destination_airport_PKC,0.0006964526931427006
categorical__origin_airport_VVO,0.0006717518856557542
categorical__route_VKO-PEE,0.0006536900235949068
categorical__route_SVO-VVO,0.0006511164111474778
categorical__route_MMK-VKO,0.000648849162778032
categorical__weather_destination_unknown,0.0006475395553763749
categorical__route_DME-LED,0.0006248870417581657
categorical__origin_airport_OMS,0.0006174462587165744
categorical__origin_airport_SCW,0.0006049228158951224
categorical__route_SVO-LED,0.0005932924412544983
categorical__route_SVO-OMS,0.0005750501828916066
categorical__route_SVO-MRV,0.0005726355014619558
categorical__route_SVO-IKT,0.0005661936988159208
categorical__destination_airport_ROV,0.000562097051238968
categorical__route_OVB-DME,0.0005525868863949625
categorical__route_SVX-SVO,0.0005374802127514623
categorical__route_VKO-VOG,0.0005234237358167158
categorical__route_LED-SVO,0.0005107593481959303
categorical__route_GOJ-LED,0.0005019745285187668
categorical__route_SVO-TJM,0.0005005159648936359
categorical__route_AER-SVO,0.0004949687760028002
categorical__origin_airport_KGD,0.0004932848277131199
categorical__route_VKO-LED,0.00048649873478846106
categorical__route_SVO-OVB,0.0004853444992584564
categorical__origin_airport_KJA,0.000484104258964599
categorical__route_GOJ-DME,0.00048202388180953695
categorical__route_SGC-VKO,0.0004753306106701415
categorical__route_VVO-VKO,0.00047148740247132594
categorical__route_SVO-ARH,0.00046602349537203124
categorical__route_VKO-MMK,0.000460358157530096
categorical__route_SVO-YKS,0.00045321346877492524
categorical__weather_origin_unknown,0.0004523230407261969
categorical__origin_airport_PEE,0.0004520959760040379
categorical__route_SVO-GOJ,0.0004515675185623284
categorical__route_DME-PEE,0.00045082517943704754
categorical__route_SVO-UFA,0.00044828205421289534
categorical__route_DME-VVO,0.0004471818789668602
categorical__route_DME-KHV,0.0004436647600146303
categorical__route_DME-KJA,0.0004377679153832276
categorical__route_PKC-DME,0.00043768773234014477
categorical__route_TJM-VKO,0.0004236787007728176
categorical__route_VKO-KZN,0.00041307805113449734
categorical__route_OVB-VKO,0.0004100427740705212
categorical__route_DME-ROV,0.0004087890530102784
categorical__route_VKO-AER,0.0004087623320248141
categorical__route_VKO-KRR,0.0004070486168835481
categorical__route_UFA-VKO,0.00040567761496233736
categorical__route_VVO-SVO,0.00040315360655964513
categorical__route_SVO-MMK,0.0003969884628499783
categorical__route_SVX-VKO,0.00039301088747504235
categorical__route_LED-YKS,0.0003884470153006143
categorical__route_UFA-DME,0.00038405047309650385
categorical__route_SVO-KHV,0.0003837747564054126
categorical__route_LED-UFA,0.0003804866241784554
categorical__route_OVB-PEE,0.0003804306633626681
categorical__route_YKS-GOJ,0.0003738615973677182
categorical__route_SVO-SVX,0.00037270098190654826
categorical__route_SCW-SVO,0.00037071762340591403
categorical__route_VVO-SGC,0.00036867551006475584
categorical__route_MRV-VKO,0.0003681554081360549
categorical__route_SVX-DME,0.0003672416435990362
categorical__route_LED-VVO,0.00036699127395892526
categorical__route_LED-KZN,0.00036647102138821774
categorical__route_TJM-SVO,0.0003636753964849243
categorical__route_DME-MMK,0.0003628576441303235
categorical__route_VKO-UFA,0.0003620483099792533
categorical__route_LED-DME,0.00036017847698677897
categorical__route_TJM-DME,0.00035876902816311105
categorical__route_KHV-VKO,0.00035829155876273124
categorical__route_SVO-VOG,0.00035435934918737525
categorical__route_KUF-VKO,0.0003516160300569778
categorical__route_CEK-SVO,0.0003506251751031442
categorical__route_CEK-DME,0.00034970402975743745
categorical__route_SGC-SVO,0.0003483873641621495
categorical__route_KJA-DME,0.00034822900716404765
categorical__route_AER-PEE,0.000347405258059368
categorical__route_MRV-PEE,0.0003462263986903678
categorical__route_GOJ-SVO,0.0003460116573672041
categorical__route_DME-KGD,0.00034164407531060524
categorical__route_OMS-SVO,0.0003411311956078892
categorical__route_VKO-VVO,0.0003371076487634357
categorical__route_VKO-KUF,0.00033202286980595346
categorical__route_SVO-PKC,0.0003307797869523843
categorical__route_KZN-SVO,0.000330146445229014
categorical__route_DME-MRV,0.0003281097677154404
categorical__route_LED-MRV,0.0003264315286709247
categorical__route_DME-OVB,0.00032344299578685576
categorical__route_UFA-SVO,0.0003231876772423776
categorical__route_SVO-SCW,0.00032077112058070983
categorical__route_VKO-CEK,0.00031688766684972064
categorical__route_LED-PEE,0.00031511879447688215
categorical__route_VKO-KGD,0.0003078968664467657
categorical__route_PKC-VKO,0.00030315684470016215
categorical__route_MMK-SVO,0.000300782454077136
categorical__route_YKS-SVX,0.00029746898258112086
categorical__route_SVX-SCW,0.00029622999698433766
categorical__route_MRV-VOG,0.0002960010426965062
categorical__route_DME-OMS,0.0002940940063655791
categorical__route_VKO-KHV,0.0002929404966682413
categorical__route_KGD-SVX,0.0002926523383300422
categorical__route_YKS-DME,0.000283721421888862
categorical__route_VOG-VKO,0.00028359686531516707
categorical__route_AER-VKO,0.0002823830927838116
categorical__route_LED-IKT,0.0002818212229568048
categorical__route_ARH-CEK,0.00028174086392465826
categorical__route_GOJ-VKO,0.0002812601033800056
categorical__route_PKC-KJA,0.00028094574124649566
categorical__route_VVO-KGD,0.00028070308774086594
categorical__route_KZN-DME,0.0002800079186232765
categorical__route_KRR-VKO,0.0002795035798282087
categorical__route_SVO-AER,0.00027943670253085997
categorical__route_DME-SGC,0.0002789799124403552
categorical__route_VKO-OMS,0.00027872473048925854
categorical__route_LED-KGD,0.0002760197931332552
categorical__route_DME-KZN,0.00027451279980684925
categorical__route_VKO-IKT,0.0002728739585141694
categorical__route_KRR-SVO,0.0002715616317369671
categorical__route_PEE-SVO,0.00027138863189152826
categorical__route_LED-SCW,0.00027007337888431413
categorical__route_PEE-VKO,0.00026984605066962026
categorical__route_VOG-SVX,0.00026669171083183133
categorical__route_KJA-PEE,0.0002650073468907074
categorical__route_IKT-OVB,0.00026453829094103573
categorical__route_CEK-SVX,0.00026314728349620105
categorical__route_OMS-CEK,0.00026306529787071875
categorical__route_SGC-DME,0.0002625771042088627
categorical__route_KHV-UFA,0.00026001475660096513
categorical__route_DME-KRR,0.0002593457484152897
categorical__route_PKC-SVO,0.000259203475614281
categorical__route_DME-SCW,0.00025826728326452974
categorical__route_DME-AER,0.0002580193350310971
categorical__route_SVO-CEK,0.00025720504812354084
categorical__route_DME-SVX,0.00025704562875760535
categorical__route_SVO-KUF,0.00025473277326652153
categorical__route_IKT-CEK,0.00025178226999147404
categorical__route_SVX-OMS,0.00025177677880666623
categorical__route_KHV-KUF,0.00024986500353325447
categorical__route_KGD-YKS,0.0002490137344786215
categorical__route_MRV-DME,0.0002488390629854335
categorical__route_YKS-SVO,0.0002485643589660159
categorical__route_SVX-KHV,0.00024851531412443874
categorical__route_IKT-DME,0.0002475602033651406
categorical__route_VOG-KUF,0.0002469642844566927
categorical__route_SVO-SGC,0.00024622584409017133
categorical__route_CEK-VKO,0.00024476877322559014
categorical__route_SVO-KRR,0.00024412395881876533
categorical__route_LED-PKC,0.00024377632205760898
categorical__route_VKO-KJA,0.00024323865397795564
categorical__route_VKO-MRV,0.0002420753671462269
categorical__route_KHV-SVO,0.00024197260564640252
categorical__route_VOG-LED,0.00024181854288191353
categorical__route_IKT-KRR,0.0002400853984208935
categorical__route_LED-VOG,0.00024002085844790342
categorical__route_TJM-LED,0.00023758642456886007
categorical__route_VKO-GOJ,0.0002351065970931499
categorical__route_VKO-TJM,0.0002342674225876745
categorical__route_AER-DME,0.00023404015103034448
categorical__route_VVO-DME,0.00023395151307920554
categorical__route_SVO-KGD,0.00023359434109816596
categorical__route_KHV-DME,0.00023330742319067506
categorical__route_MRV-YKS,0.00023201245365651044
categorical__route_IKT-VKO,0.00023041563968395352
categorical__route_DME-IKT,0.0002301631850287559
categorical__route_SVO-ROV,0.00022851638625993602
categorical__route_KJA-LED,0.00022797908367330717
categorical__route_VKO-YKS,0.00022671614594367326
categorical__route_DME-VOG,0.00022614741989215287
categorical__route_OMS-VKO,0.00022553731632539138
categorical__route_LED-OVB,0.00022290962509785475
categorical__route_VKO-SCW,0.0002219229678345014
categorical__route_OVB-MRV,0.0002218263772204679
categorical__route_IKT-SVO,0.00022170945189546148
categorical__route_KGD-DME,0.000217534318865113
categorical__route_LED-ROV,0.00021742747904034395
categorical__route_LED-AER,0.0002169654777298573
categorical__route_AER-CEK,0.0002168577847656725
categorical__route_ARH-SVX,0.00021487368282513156
categorical__route_MRV-LED,0.00021364117840480922
categorical__route_KGD-VKO,0.00021356758805821606
categorical__route_ROV-SVO,0.00021227420557862363
categorical__route_MMK-DME,0.0002110826283848607
categorical__route_AER-OMS,0.0002104169472193691
categorical__route_OVB-SVO,0.00020947479712411196
categorical__route_KUF-UFA,0.00020885891300894403
categorical__route_ROV-VKO,0.00020870829438443973
categorical__route_KRR-DME,0.00020850146645502447
categorical__route_AER-LED,0.00020836920110261722
categorical__route_KUF-SVO,0.00020781549482412235
categorical__route_KZN-PKC,0.00020551824417348503
categorical__route_MMK-AER,0.00020459276084782308
categorical__route_KJA-AER,0.000204440307340263
categorical__route_MRV-SVO,0.0002037675417023679
categorical__route_YKS-VKO,0.00020199722108694244
categorical__route_SCW-KJA,0.00020160586956277955
categorical__route_KZN-VKO,0.00020142617380138574
categorical__route_YKS-LED,0.00020100588126289453
categorical__route_VKO-SGC,0.0002004937293722176
categorical__route_AER-KJA,0.00019993565503163038
categorical__route_LED-KUF,0.00019957303878235
categorical__route_AER-VVO,0.00019920036628248407
categorical__route_KUF-LED,0.00019837710913743215
categorical__route_MMK-KRR,0.00019835299112850837
categorical__route_VVO-YKS,0.0001980927384674952
categorical__route_ROV-OVB,0.00019726105810416125
categorical__route_LED-KJA,0.00019683949327534438
categorical__route_YKS-KJA,0.00019569974012280858
categorical__route_AER-MRV,0.00019530631787776235
categorical__route_KRR-AER,0.00019490352606770154
categorical__route_KGD-SCW,0.00019462676792410748
categorical__route_KGD-LED,0.0001940162468140693
categorical__route_DME-ARH,0.0001938626590721017
categorical__route_PEE-MRV,0.0001938368122083636
categorical__route_VVO-MMK,0.00019365467987396884
categorical__route_IKT-PEE,0.00019269785762437104
categorical__route_IKT-PKC,0.00019257166917697414
categorical__route_VKO-SVX,0.0001920171178854373
categorical__route_IKT-LED,0.00019141357153544398
categorical__route_KGD-PEE,0.00019060399970503627
categorical__route_DME-KUF,0.0001898598609308651
categorical__route_VOG-CEK,0.00018838089844750577
categorical__route_OVB-YKS,0.00018788035849676003
categorical__route_KZN-LED,0.00018723477900831813
categorical__route_SGC-SVX,0.0001870816892993889
categorical__route_VVO-OVB,0.000186994455051163
categorical__route_KGD-UFA,0.00018685500568483255
categorical__route_UFA-ARH,0.00018655996512218412
categorical__route_PKC-LED,0.00018590125207738713
categorical__route_LED-OMS,0.00018578731371855404
categorical__route_SCW-DME,0.0001853872124825301
categorical__route_VOG-YKS,0.00018501433773638132
categorical__route_PKC-CEK,0.0001848392175121732
categorical__route_KGD-SVO,0.00018429520605213963
categorical__route_KUF-DME,0.0001839610416263105
categorical__route_MMK-LED,0.00018338418770589302
categorical__route_GOJ-KRR,0.0001833060901479426
categorical__route_KHV-PKC,0.00018280522385122507
categorical__route_KZN-UFA,0.00018172220414743577
categorical__route_SVX-PEE,0.00018048438979080067
categorical__route_YKS-OMS,0.00017974029419368207
categorical__route_OMS-KZN,0.00017916689786183552
